key,value
app.name,Fanation
app.tagline,Fandom playground chính thức
app.welcome,Xin chào {{name}}!
app.welcomeBack,"Chào mừng trở lại, {{name}}!"
common.share,Chia sẻ
common.copy,Sao chép
common.copyLink,Sao chép liên kết
common.linkCopied,Đã sao chép liên kết
common.back,Quay lại
common.close,Đóng
common.continue,Tiếp tục
common.selectAll,Chọn tất cả
common.cancel,Hủy
common.sendReport,Gửi báo cáo
common.clear,Xóa
common.done,Xong
common.selectDate,Chọn ngày
common.save,Lưu
common.edit,Chỉnh sửa
common.delete,Xóa
common.loading,Đang tải...
common.retry,Thử lại
common.comingSoon,Sắp ra mắt
common.error.title,Lỗi
common.error.message,Đã xảy ra lỗi. Vui lòng thử lại.
common.error.unableCaptureCharacter,Không thể chụp ảnh nhân vật. Vui lòng thử lại.
common.error.unableSaveCharacter,Không thể lưu ảnh nhân vật. Vui lòng thử lại.
common.errors.loadFailed,Không tải được {{resource}}. Vui lòng thử lại.
common.errors.uploadFailed,Không tải lên được {{resource}}. Vui lòng thử lại.
common.errors.saveFailed,Không lưu được {{resource}}. Vui lòng thử lại.
common.errors.invalidPhone,Nhập số điện thoại hợp lệ
common.resources.account,thông tin tài khoản
common.resources.artistProfile,hồ sơ thần tượng
common.resources.artists,danh sách thần tượng
common.resources.posts,bài viết
common.resources.merchandise,vật phẩm
common.resources.fanProjects,dự án fan
common.resources.fanLetters,thư fan
common.resources.idolProfile,hồ sơ thần tượng
common.resources.events,sự kiện
common.resources.calendar,lịch sự kiện
common.resources.giftCampaign,chiến dịch tặng quà
common.resources.gifts,quà
common.resources.missions,nhiệm vụ
common.resources.questChains,nhiệm vụ chuỗi
common.resources.page,trang này
common.resources.image,ảnh
common.resources.profile,hồ sơ
common.resources.musicLinks,link nhạc
common.resources.avatarFrames,khung ảnh đại diện
common.resources.stickerPacks,các gói sticker
common.resources.comments,bình luận
common.resources.replies,câu trả lời
common.resources.ecards,E-Card
common.resources.transactions,giao dịch
common.resources.decorItems,vật phẩm trang trí
common.resources.fanPowerPoints,điểm hâm mộ
common.resources.leaderboard,bảng xếp hạng
common.resources.rankRewards,phần thưởng xếp hạng
common.resources.itemHistory,lịch sử vật phẩm
common.resources.chat,trò chuyện
common.resources.blockedUsers,danh sách chặn
common.fpp.title,Điểm FXP
common.fpp.monthBadge,Tháng: #{{month}}
common.fpp.eventActive,Đang có sự kiện
common.fpp.periodEndsLabel,Kết thúc kỳ: 
common.fpp.viewLeaderboard,Xem BXH
common.fpp.unit,FXP
common.empty.noEventsDay,Không có sự kiện trong ngày này
common.calendar.eventOnDate,Sự kiện ngày {{date}}
common.calendar.eventsOnDate,Sự kiện ngày {{date}}
common.calendar.months.jan,Tháng 1
common.calendar.months.feb,Tháng 2
common.calendar.months.mar,Tháng 3
common.calendar.months.apr,Tháng 4
common.calendar.months.may,Tháng 5
common.calendar.months.jun,Tháng 6
common.calendar.months.jul,Tháng 7
common.calendar.months.aug,Tháng 8
common.calendar.months.sep,Tháng 9
common.calendar.months.oct,Tháng 10
common.calendar.months.nov,Tháng 11
common.calendar.months.dec,Tháng 12
common.calendar.weekdays.sun,CN
common.calendar.weekdays.mon,T2
common.calendar.weekdays.tue,T3
common.calendar.weekdays.wed,T4
common.calendar.weekdays.thu,T5
common.calendar.weekdays.fri,T6
common.calendar.weekdays.sat,T7
common.tabs.all,Tất cả
common.tabs.earned,Nhận
common.tabs.spent,Chi
common.platforms.facebook,Facebook
common.platforms.tiktok,TikTok
common.platforms.youtube,YouTube
common.platforms.spotify,Spotify
common.platforms.instagram,Instagram
common.platforms.google,Google
common.platforms.threads,Threads
common.imageCrop.ratio.original,Gốc
common.imageCrop.ratio.square,1:1
common.imageCrop.ratio.portrait,4:5
common.imageCrop.ratio.wide,16:9
collect.item.packs,Gói nạp
collect.item.merch,Vật phẩm
auth.loginTitle,FANATION
auth.loginSubtitle,Chào mừng đến với thế giới FANATION
auth.loginWithGoogle,Đăng nhập bằng Google
auth.loginWithApple,Đăng nhập bằng Apple
